source_id,original_ext_source_id,gaia_astrometric_params,tmass_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,col2mass,parallax,parallax_error,pmra,pmdec,pmra_error,pmdec_error,ra,dec,astrometric_chi2_al,astrometric_n_good_obs_al,phot_bp_rp_excess_factor,bp_rp,bp_g,phot_g_mean_mag,g_rp,phot_bp_mean_mag,visibility_periods_used
2207268184012655616,22564284+6242419,5,456355490,1,0,1,22564284+6242419,1.3648133855189635,0.25724576517258685,-0.31546896041508254,-2.366360486863849,0.5970221683881984,0.4209221168001657,344.1784506250412,62.711655051981815,347.97455,250,1.9795656,2.7298813,1.2035694,19.11715,1.5263119,20.320719,17
2207268188306872704,22564289+6242292,5,456349217,1,0,1,22564289+6242292,1.5078343448668263,0.21282547064183333,0.2056917596030356,-2.6430554095290377,0.4288521842565735,0.3245319997087178,344.17864552029533,62.708140826826096,347.82516,274,1.80852,2.8891563,1.4427013,18.950691,1.446455,20.393393,17
2207216369526330368,22564307+6232184,5,456048372,1,0,1,22564307+6232184,0.878917884710743,0.2202492121955407,-1.4081903710667656,-2.5192489754744214,0.40774451189931143,0.32233787072059833,344.17942529821744,62.53845034733803,400.87985,274,1.910746,3.2428036,1.7037544,18.846577,1.5390491,20.550331,18
2207220046029832320,22564351+6238071,5,456220204,1,0,1,22564351+6238071,0.46272403574923054,0.8082128940715505,1.7277736924520903,-1.9296732409057926,1.6935298051536414,1.442973742917357,344.1812989560163,62.6353217105443,221.16193,173,3.938286,1.484129,-0.5356846,20.320206,2.0198135,19.784521,13
2207268115299659008,22564359+6242271,5,456348244,1,0,1,22564359+6242271,1.266738843017917,0.1339179556664744,-0.7764438391467097,-2.5572514896701763,0.24580071305547663,0.19044468997610303,344.18158274837174,62.7075517841878,411.89163,292,1.8454548,3.0467339,1.5624657,18.14936,1.4842682,19.711826,17
2207221111173484544,22564369+6240171,5,456284343,1,0,1,22564369+6240171,0.6484122980490626,0.40520925094030635,-0.6232469971777269,-2.152952544638441,0.8409484184759466,0.6043905204102547,344.1820366256589,62.671375649759995,350.26968,271,2.4343166,2.3930187,0.6894283,19.79888,1.7035904,20.488308,17
2207221111177574912,22564375+6240432,5,456297176,1,0,1,22564375+6240432,1.2810098093173905,0.2643151831704394,-0.46455231141444486,-2.2408771383397847,0.47744099888942226,0.38241130027219,344.1822892539527,62.678673837978685,452.86533,267,2.1571734,2.6725216,1.0600986,19.05216,1.612423,20.112259,17
2207291651716145664,22564385+6243024,5,456365626,1,0,1,22564385+6243024,-0.06527296626551572,0.5770805429406467,1.6275024855253022,-1.5373911834070824,1.6659475256618064,1.246475209023274,344.18265915482715,62.717332590865986,165.65526,155,2.465827,2.1831264,0.501915,20.213076,1.6812115,20.71499,13
2207220840587502976,22564411+6238425,5,456237555,1,0,1,22564411+6238425,1.2135876212931433,0.13997110927154233,-0.44888403078856,-2.903980167810715,0.2463782653244624,0.19711217227606675,344.18380831010273,62.64515593333832,430.06677,278,1.901091,2.8681087,1.3697338,18.099209,1.4983749,19.468943,18
2207216747483457280,22564453+6234306,5,456113443,1,0,1,22564453+6234306,1.4670593685492246,0.20463300216304048,0.0026581718877697336,-2.42021540277089,0.37755541318961733,0.277404349778883,344.1855253621644,62.5751578198197,296.0084,245,1.9097778,2.9589005,1.4460201,18.83782,1.5128803,20.28384,16
2207291656013276032,22564465+6242537,5,456361403,1,0,1,22564465+6242537,1.1261839726464433,0.10244386649692185,-0.19004047694881898,-3.168755808034887,0.1863332708941017,0.14918834446555607,344.18615512131237,62.7149244682438,397.9511,265,1.8387847,2.948473,1.4777832,17.570227,1.4706898,19.04801,18
